,Country,Happiness Score_x_x,Economy (GDP)_x_x,Family (Social Support)_x_x,Freedom_x_x,Generosity_x_x,Year_x_x,Happiness Score_y_x,Economy (GDP)_y_x,Family (Social Support)_y_x,Freedom_y_x,Generosity_y_x,Year_y_x,Happiness Score_x_y,Economy (GDP)_x_y,Family (Social Support)_x_y,Freedom_x_y,Generosity_x_y,Generosity_x_y,Year_x_y,Happiness Score_y_y,Economy (GDP)_y_y,Family (Social Support)_y_y,Freedom_y_y,Generosity_y_y,Generosity_y_y,Year_y_y,Happiness Score,Economy (GDP),Family (Social Support),Freedom,Generosity,Year
77,Serbia,5.398,0.975,1.369,0.288,0.134,2018,5.603,1.004,1.383,0.282,0.137,2019,5.77820015,0.988181829,1.327448964,0.395428419,-0.073676221,0.15028289,2020,6.078,1.101,0.924,0.482,0.002,0.189,2021,6.178,"1,550","1,086",0.546,"0,219",2022
78,Greece,5.358,1.154,1.202,0.131,0.0,2018,5.287,1.181,1.156,0.067,0.0,2019,5.514999866,1.128070116,1.168973565,0.173516348,-0.300907373,0.0,2020,5.723,1.273,0.811,0.243,-0.288,0.0,2021,5.948,"1,703","0,980",0.249,"0,015",2022
79,Lebanon,5.358,0.965,1.179,0.503,0.214,2018,5.197,0.987,1.224,0.216,0.166,2019,4.771500111,0.889232516,1.19249332,0.18551667,-0.06121527,0.158524141,2020,4.584,1.045,0.868,0.175,-0.073,0.14,2021,2.955,"1,392","0,498",0.103,"0,082",2022
80,Montenegro,5.347,1.017,1.279,0.259,0.111,2018,5.523,1.051,1.361,0.197,0.142,2019,5.54610014,1.010150075,1.265657902,0.303223848,-0.075600356,0.14901033,2020,5.581,1.155,0.891,0.397,-0.034,0.166,2021,5.547,"1,573","1,023",0.46,"0,135",2022
81,Croatia,5.321,1.115,1.161,0.38,0.12,2018,5.432,1.155,1.266,0.296,0.119,2019,5.504700184,1.109024286,1.311264873,0.381456882,-0.128538325,0.113998979,2020,5.882,1.251,1.039,0.453,-0.118,0.111,2021,6.125,"1,705","1,183",0.535,"0,109",2022
82,Dominican Republic,5.302,0.982,1.441,0.578,0.12,2018,5.425,1.015,1.401,0.497,0.113,2019,5.689199924,0.983191848,1.328888893,0.5628739,-0.131263286,0.112196781,2020,5.545,1.106,0.879,0.581,-0.133,0.101,2021,5.737,"1,538","1,003",0.606,"0,084",2022
83,Algeria,5.295,0.979,1.154,0.077,0.055,2018,5.211,1.002,1.16,0.086,0.073,2019,5.005099773,0.943856001,1.143003583,0.083943799,-0.121105164,0.118915014,2020,4.887,0.946,0.765,0.119,-0.067,0.144,2021,5.122,"1,363","0,970",0.146,"0,106",2022
84,Morocco,5.254,0.779,0.797,0.46,0.026,2018,5.208,0.801,0.782,0.418,0.036,2019,5.094799995,0.75862211,0.645208478,0.450054139,-0.240377247,0.040032551,2020,4.918,0.792,0.219,0.477,-0.236,0.034,2021,5.06,"1,208","0,268",0.492,"0,020",2022
85,China,5.246,0.989,1.142,0.597,0.029,2018,5.191,1.029,1.125,0.521,0.058,2019,5.123899937,0.990533412,1.132080674,0.601605117,-0.18142575,0.079021044,2020,5.339,1.061,0.785,0.636,-0.146,0.093,2021,5.585,"1,508","0,958",0.656,"0,099",2022
87,Tajikistan,5.199,0.474,1.166,0.292,0.187,2018,5.467,0.493,1.098,0.389,0.23,2019,5.555699825,0.474874616,1.218377709,0.521141171,-0.025088511,0.182417125,2020,5.466,0.508,0.895,0.548,-0.056,0.152,2021,5.377,"0,966","1,005",0.572,"0,118",2022
